,Name,"Neighborhood/
City","2007
(28)[2]","2008
(27)[3]","2009
(32)[4]","2010
(39)[5]","2011
(44)[6]","2012
(47)[7]","2013
(42)[8]","2014
(38)[9]","2015
(40)[10]","2016
(50)[11]","2017
(53)[12]"
0,Acquerello,Nob Hill,1,1,1,1,1,1,1,1,2,2,2
1,Adega,San Jose,,,,,,,,,,,1
2,Alexander’s Steakhouse,Cupertino,,,,,,1,1,1,,,
3,All Spice,San Mateo,,,,,,,1,1,1,1,
4,Al's Place,Mission,,,,,,,,,,1,1
5,Ame,SoMa,,1,1,1,1,1,1,1,1,1,Closed
6,Applewood,Guerneville,,,,1,1,,,,,Closed,Closed
7,Aster,Mission,,,,,,,,,,1,1
8,Atelier Crenn,Cow Hollow,,,,,,1,2,2,2,2,2
9,Aqua,Financial District,2,2,2,,Closed,Closed,Closed,Closed,Closed,Closed,Closed
10,Auberge du Soleil,Rutherford,1,1,1,1,1,1,1,1,1,1,1
11,Aziza,Richmond,,,,1,1,1,1,1,1,1,1
12,Baumé,Palo Alto,,,,,1,2,2,2,2,2,2
13,Benu,SoMa,,,,,,2,2,2,3,3,3
14,Bistro Jeanty,Yountville,1,1,1,,,,,,,,
15,Bouchon,Yountville,1,1,1,1,1,1,1,1,1,1,1
16,Boulevard,SoMa,1,1,1,1,1,1,1,1,1,,
17,Bushi-Tei,Japantown,1,,,,,,Closed,Closed,Closed,Closed,Closed
18,Californios,Mission,,,,,,,,,,1,1
19,Campton Place,Union Square,,,,,1,1,1,1,1,2,2
20,Chez Panisse,Berkeley,1,1,1,1,,,,,,,
21,Chez TJ,Mountain View,1,2,1,1,1,1,1,1,1,1,1
22,Coi,North Beach,,1,2,2,2,2,2,2,2,2,2
23,Commis,Oakland,,,,1,1,1,1,1,1,2,2
24,Commonwealth,Mission,,,,,,,,,,1,1
25,Cortez,Financial District,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
26,Cyrus,Healdsburg,2,2,2,2,2,2,Closed,Closed,Closed,Closed,Closed
27,Dio Deka,Los Gatos,,,,,1,1,,,,,
28,Dry Creek Kitchen,Healdsburg,1,,,,,,,,,,
29,El Paseo,Mill Valley,,,,,1,Closed,Closed,Closed,Closed,Closed,Closed
30,Etoile,Yountville,,,,1,1,1,,,Closed,Closed,Closed
31,Farmhouse Inn & Restaurant,Forestville,1,1,1,1,1,1,1,1,1,1,1
32,Fifth Floor,SoMa,1,1,1,1,,,,Closed,Closed,Closed,Closed
33,Fleur de Lys,Financial District,1,1,1,1,1,1,,,Closed,Closed,Closed
34,Frances,Castro,,,,,1,1,1,,,,
35,Gary Danko,North Beach,1,1,1,1,1,1,1,1,1,1,1
36,Hashiri,SoMa,,,,,,,,,,,1
37,Jū-Ni,North Panhandle,,,,,,,,,,,1
38,K&L Bistro,Sebastopol,1,1,,,,,,,,,
39,Keiko à Nob Hill,Nob Hill,,,,,,,1,1,1,1,1
40,Kin Khao,Union Square,,,,,,,,,,1,1
41,Kusakabe,Financial District,,,,,,,,,1,1,
42,La Costanera,Montara,,,,,,1,1,,,,
43,La Folie,Russian Hill,1,1,1,1,1,1,1,1,1,,
44,La Toque,Rutherford,,,,1,1,1,1,1,1,1,1
45,Lazy Bear,Mission,,,,,,,,,,1,2
46,Lord Stanley,Nob Hill,,,,,,,,,,1,1
47,Luce,SoMa,,,,1,1,1,1,1,1,1,1
48,Madera,Menlo Park,,,,1,1,1,1,1,1,,1
49,Madrona Manor,Healdsburg,,1,1,1,1,1,1,1,1,1,1
50,Manresa,Los Gatos,2,2,2,2,2,2,2,2,2,3,3
51,Martini House,St. Helena,,1,1,,Closed,Closed,Closed,Closed,Closed,Closed,Closed
52,Maruya,Mission,,,,,,,,,1,,
53,Masa's,Nob Hill,1,1,1,1,1,1,1,Closed,Closed,Closed,Closed
54,Michael Mina,Financial District,2,2,2,1,,1,1,1,1,1,1
55,Mirepoix,Windsor,,,,,1,Closed,Closed,Closed,Closed,Closed,Closed
56,Mister Jiu’s,Chinatown,,,,,,,,,,,1
57,Mosu,Fillmore,,,,,,,,,,,1
58,Mourad,SoMa,,,,,,,,,,1,1
59,Murray Circle,Sausalito,,,1,1,1,,,,,,
60,Nico,Pacific Heights,,,,,,,,,,1,1
61,Octavia,Lower Pacific Heights,,,,,,,,,,1,1
62,Omakase,SoMa,,,,,,,,,,1,1
63,One Market,SoMa,,1,1,1,1,1,,,,,
64,Plumed Horse,Saratoga,,,1,1,1,1,1,1,1,1,1
65,Quince,Jackson Square,1,1,1,1,1,1,1,2,2,2,3
66,Range,Mission,1,1,1,1,,,,,,,
67,Rasa,Burlingame,,,,,,,,,,1,1
68,Redd,Yountville,,1,1,1,1,1,1,1,,,
69,Rubicon,Financial District,1,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
70,Saison,SoMa,,,,,1,2,2,2,3,3,3
71,Sante,Sonoma,,,,1,1,1,,,,,
72,Solbar,Calistoga,,,,1,1,1,1,1,1,1,1
73,Sons & Daughters,Nob Hill,,,,,,1,1,1,1,1,1
74,SPQR,Fillmore,,,,,,,1,1,1,1,1
75,Spruce,Presidio Heights,,,,,1,1,1,1,1,1,1
76,State Bird Provisions,Fillmore,,,,,,,,1,1,1,1
77,Sushi Ran,Sausalito,1,1,,,,,,,,,
78,Sushi Yoshizumi,San Mateo,,,,,,,,,,1,1
79,Terra,St. Helena,,1,1,1,1,1,1,1,1,1,1
80,Terrapin Creek,Bodega Bay,,,,,,1,1,1,1,1,1
81,The Dining Room at the Ritz-Carlton,Nob Hill,1,1,1,1,1,Closed,Closed,Closed,Closed,Closed,Closed
82,The French Laundry,Yountville,3,3,3,3,3,3,3,3,3,3,3
83,The Progress,Fillmore,,,,,,,,,,,1
84,The Restaurant at Meadowood,St. Helena,,2,2,2,3,3,3,3,3,3,3
85,The Village Pub,Woodside,,,,1,1,1,1,1,1,1,1
86,Trevese,Los Gatos,,,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed
87,Ubuntu,Napa,,,,1,1,1,Closed,Closed,Closed,Closed,Closed
88,Wako,Richmond,,,,,,,,,,1,1
89,Wakuriya,San Mateo,,,,,1,1,1,1,1,1,1
